Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Virgil van Dijk,Netherlands,DFC,491,0.36,62.9,46.0,0.2,0.7,5.7
Vitor Machado Ferreira,Portugal,MC,269,0.37,36.5,34.1,0.3,0.7,16.8
Wahbi Khazri,Tunisia,DC,152,0.47,11.8,16.0,0.6,3.0,20.8
Wajdi Kechrida,Tunisia,LD,277,0.27,21.4,13.3,0.3,0.0,7.4
Walid Cheddira,Morocco,DC,208,0.11,3.5,3.9,0.4,0.9,40.0
Walker Zimmerman,United States,DFC,380,0.21,55.2,44.1,0.0,0.2,4.5
Wataru Endo,Japan,MCD,402,0.3,41.9,33.6,0.7,1.3,23.7
Weston McKennie,United States,MC,258,0.81,50.9,42.2,0.7,1.7,20.8
William Saliba,France,DFC,102,0.21,32.6,24.7,0.9,0.0,6.1
William Silva de Carvalho,Portugal,MC,359,0.22,41.4,35.1,0.3,0.3,13.0
Woo-Yeong Jeong,South Korea,MCO,44,0.41,32.7,32.7,2.0,2.0,17.6
Woo-Young Jung,South Korea,MCD,307,0.39,61.0,46.3,0.0,0.3,11.4
Wout Weghorst,Netherlands,DC,397,0.08,3.6,1.6,0.0,0.7,50.0
Xavi Simons,Netherlands,DC,95,0.14,9.5,8.5,0.0,0.0,21.1
Xherdan Shaqiri,Switzerland,ED,226,0.59,41.4,38.6,0.8,1.6,25.1
Yahia Attiyat allah,Morocco,LI,558,0.22,22.3,15.8,0.3,0.3,15.4
Yahya Jabrane,Morocco,MCD,171,-0.0,2.1,1.6,0.0,0.0,71.4
Yannick Ferreira Carrasco,Belgium,EI,114,0.56,36.3,37.1,1.6,3.2,27.3
Yasir Gharsan Al Shahrani,Saudi Arabia,LI,85,0.27,27.5,16.9,1.1,0.0,14.0
Yassine Meriah,Tunisia,DFC,277,0.24,54.6,40.9,0.6,0.3,10.1
Yeltsin Ignacio Tejeda Valverde,Costa Rica,MCD,272,0.19,32.4,19.2,0.0,0.7,25.9
Young-Gwon Kim,South Korea,DFC,363,0.41,52.1,40.9,0.0,0.5,3.4
Youri Tielemans,Belgium,MCD,231,0.08,23.8,17.5,0.4,0.0,17.8
Youssef En-Nesyri,Morocco,DC,493,0.13,13.9,10.4,1.6,2.0,41.8
Youssef Msakni,Tunisia,EI,170,0.75,37.1,32.8,2.6,4.8,37.0
Youssouf Fofana,France,MC,557,0.14,18.1,14.9,0.3,0.6,12.9
Youssouf Sabaly,Senegal,LD,370,0.75,54.0,41.1,1.0,0.5,15.9
Youssoufa Moukoko,Germany,DC,92,0.07,2.0,1.0,0.0,0.0,0.0
Youstin Delfin Salas Gómez,Costa Rica,LD,97,0.22,16.7,11.1,0.9,0.0,22.6
Yuki Soma,Japan,MC,77,0.61,23.4,18.7,2.3,3.5,46.3
Yunus Dimoara Musah,United States,MC,353,0.5,46.4,41.0,1.8,1.0,20.3
Yuto Nagatomo,Japan,LI,193,0.42,50.4,34.5,1.9,0.0,20.4
Zakaria Aboukhlal,Morocco,EI,371,0.07,3.2,3.6,0.5,0.7,42.4
Álvaro Borja Morata Martín,Spain,DC,353,0.24,10.2,8.9,0.5,2.0,35.3
Ángel Fabián Di María Hernández,Argentina,MC,402,1.03,36.7,41.2,6.5,1.6,34.6
Ángel Martín Correa,Argentina,MC,94,0.01,3.8,3.8,0.0,0.0,25.0
Éder Gabriel Militão,Brazil,LD,358,0.46,69.6,53.5,0.0,1.3,10.1
Érick Gabriel Gutiérrez Galaviz,Mexico,MCD,95,0.05,28.4,21.8,0.9,0.0,16.7
Éverton Augusto de Barros Ribeiro,Brazil,MCO,98,0.38,15.6,14.7,0.0,0.0,24.2
Óscar Esau Duarte Gaitán,Costa Rica,DFC,274,0.07,31.9,20.7,0.0,0.0,10.6
İlkay Gündoğan,Germany,MCD,183,0.83,80.2,63.0,2.0,3.0,16.6
