Jugador,Seleccion,Posicion,Minutos,IVO_P90,Pases_P90,Conducciones_P90,Regates_P90,Tiros_P90,Presion_Pct
Cody Mathès Gakpo,Netherlands,DC,442,0.57,31.4,27.3,2.6,1.0,36.3
Connor Roberts,Wales,LD,246,0.41,43.5,30.0,0.4,0.0,14.9
Craig Goodwin,Australia,MC,287,0.39,29.5,21.3,0.0,0.6,17.1
Cristian Gabriel Romero,Argentina,DFC,602,0.26,55.6,43.5,0.3,0.0,10.8
Cristiano Ronaldo dos Santos Aveiro,Portugal,DC,409,0.21,19.8,14.5,0.7,2.4,27.6
Cyle Larin,Canada,DC,188,0.26,14.8,13.4,1.4,1.4,35.4
César Azpilicueta Tanco,Spain,LD,143,0.91,112.7,93.8,1.3,0.0,8.8
César Jasib Montes Castro,Mexico,DFC,288,0.31,60.0,46.2,0.6,0.3,9.6
Daichi Kamada,Japan,EI,310,0.3,30.2,27.9,2.0,1.7,27.2
Daizen Maeda,Japan,DC,144,0.14,11.2,4.4,0.0,1.2,44.4
Daley Blind,Netherlands,LI,442,0.59,61.9,42.4,0.4,1.0,11.6
Damian Szymański,Poland,MCD,84,0.02,9.6,6.4,0.0,0.0,6.7
Daniel Alonso Chacón Salas,Costa Rica,MCD,96,0.0,0.9,0.0,0.0,0.0,100.0
Daniel Alves da Silva,Brazil,LD,192,0.51,46.4,31.9,0.5,1.4,20.5
Daniel Amartey,Ghana,DFC,277,0.28,45.5,36.7,0.3,0.0,11.4
Daniel Carvajal Ramos,Spain,LD,189,0.38,64.3,44.3,0.5,0.0,10.9
Daniel James,Wales,EI,211,0.19,14.5,13.2,0.9,0.0,38.8
Daniel Olmo Carvajal,Spain,EI,376,0.76,46.9,47.9,4.3,2.9,31.9
Daniel-Kofi Kyereh,Ghana,MCD,276,0.05,7.8,7.2,0.7,0.0,29.2
Danilo Luiz da Silva,Brazil,LI,284,0.46,84.6,65.0,0.3,0.6,6.1
Danilo Luís Hélio Pereira,Portugal,DFC,94,0.41,76.6,62.2,1.0,0.0,14.4
Darko Lazović,Serbia,LD,92,0.09,10.8,6.8,0.0,1.0,15.8
Darwin Gabriel Núñez Ribeiro,Uruguay,DC,237,0.42,20.5,20.5,1.5,1.1,51.3
David Junior Hoilett,Canada,MCO,219,0.68,22.6,24.2,2.5,1.6,39.5
David Raum,Germany,LI,240,0.89,72.4,43.9,1.1,0.0,11.5
David Wotherspoon,Canada,MC,89,0.03,6.1,6.1,1.0,0.0,38.5
Davy Klaassen,Netherlands,MCO,270,0.13,27.0,16.0,0.0,0.7,31.3
Dayotchanculle Upamecano,France,DFC,490,0.35,63.4,52.0,0.2,0.0,9.1
DeAndre Yedlin,United States,LD,193,0.09,14.0,7.9,0.0,0.0,8.5
Declan Rice,England,MCD,429,0.29,68.6,51.8,0.6,0.0,14.0
Dejan Lovren,Croatia,DFC,608,0.34,67.2,52.8,0.0,0.6,6.3
Denis Lemi Zakaria Lako Lado,Switzerland,MCD,177,0.08,11.2,10.2,1.0,0.5,11.1
Denis Odoi,Ghana,LD,79,0.03,2.3,1.1,0.0,0.0,0.0
Denzel Dumfries,Netherlands,LD,466,0.43,42.1,30.3,1.2,0.4,17.2
Diego Nicolás De La Cruz Arcosa,Uruguay,MC,195,0.16,11.1,10.6,0.5,0.5,24.5
Diego Roberto Godín Leal,Uruguay,DFC,155,0.27,56.9,42.4,0.0,0.6,3.5
Djibril Sow,Switzerland,MCO,245,0.3,35.6,27.2,0.4,0.7,16.1
Djorkaeff Neicer Reasco González,Ecuador,DC,86,0.01,3.1,4.2,0.0,0.0,42.9
Dries Mertens,Belgium,MCO,130,0.41,24.9,18.7,0.7,2.1,31.3
Dušan Tadić,Serbia,MCO,264,0.68,42.6,41.2,2.7,0.3,27.5
Dušan Vlahović,Serbia,DC,134,0.12,8.7,9.4,0.7,2.0,41.9
Dylan Daniel Mahmoud Bronn,Tunisia,DFC,165,0.19,51.8,39.3,0.5,0.5,9.5
Eden Hazard,Belgium,MCO,210,0.27,25.3,28.3,3.4,0.4,50.7
Edimilson Fernandes,Switzerland,LD,284,0.17,25.7,21.2,0.6,0.3,21.9
Edinson Roberto Cavani Gómez,Uruguay,DC,261,0.15,13.4,9.3,0.3,1.0,20.0
Edson Omar Álvarez Velázquez,Mexico,MCD,182,0.32,53.9,37.6,0.5,0.5,21.9
Eduardo Camavinga,France,LI,221,0.38,41.9,35.8,1.6,0.0,14.9
Ehsan Hajsafi,Iran,MC,242,0.31,36.4,23.4,0.7,0.4,22.0
Ellyes Joris Skhiri,Tunisia,MCD,280,0.29,41.1,31.2,1.3,0.6,18.2
Enner Remberto Valencia Lastra,Ecuador,MCO,246,0.47,18.7,27.1,2.6,3.3,47.5
Enzo Ebosse,Cameroon,DFC,93,0.17,37.7,24.2,0.0,0.0,6.2
Enzo Fernandez,Argentina,MCD,707,0.45,59.8,48.5,0.8,1.1,12.4
Eray Ervin Cömert,Switzerland,DFC,185,0.09,19.9,17.0,0.0,0.0,9.2
Eric Dier,England,DFC,185,0.08,20.4,16.1,0.0,0.0,4.0
Ernesto Alexis Vega Rojas,Mexico,EI,188,0.58,25.9,27.3,1.4,4.3,35.8
Ethan Ampadu,Wales,MCD,247,0.4,52.5,36.4,1.5,0.4,26.9
Exequiel Alejandro Palacios,Argentina,MC,284,0.07,8.9,7.3,0.0,0.3,19.2
Fabian Frei,Switzerland,MCO,186,0.0,6.3,5.3,0.0,0.0,37.5
Fabian Lukas Schär,Switzerland,DFC,144,0.32,50.0,32.5,0.0,1.2,11.9
Fabian Rieder,Switzerland,ED,151,0.13,16.1,16.1,0.6,0.0,21.8
Facundo Pellistri Rebollo,Uruguay,MC,234,0.32,17.3,20.0,2.3,0.4,28.8
Famara Diedhiou,Senegal,DC,149,0.13,8.5,9.1,0.0,1.8,53.1
Federico Santiago Valverde Dipetta,Uruguay,MCD,290,0.77,57.7,39.4,0.9,2.2,15.2
Felix Eduardo Torres Caicedo,Ecuador,DFC,283,0.24,63.3,42.9,0.3,0.3,6.0
Ferjani Sassi,Tunisia,MCD,189,0.13,16.2,14.3,1.0,0.5,14.9
Ferrán Torres García,Spain,ED,273,0.44,28.4,33.6,3.3,1.3,38.1
Filip Kostić,Serbia,LI,189,0.87,53.3,38.6,0.5,0.5,17.4
Filip Mladenović,Serbia,LI,60,0.2,36.0,22.5,3.0,1.5,26.2
Filip Đuričić,Serbia,LI,183,0.05,3.0,1.5,0.0,0.0,22.2
Firas Tariq Nasser Al Albirakan,Saudi Arabia,MC,276,0.27,22.5,19.2,1.6,0.7,43.7
Fodé Ballo Touré,Senegal,LI,94,0.01,7.7,5.7,1.0,0.0,20.0
Fran Karačić,Australia,LD,169,0.61,29.3,14.4,0.5,1.6,19.8
Francisco Javier Calvo Quesada,Costa Rica,DFC,189,0.24,48.1,38.1,1.9,0.5,16.7
Frederico Rodrigues Santos,Brazil,MCD,321,0.22,22.4,19.6,0.3,0.8,18.8
Frenkie de Jong,Netherlands,MCD,472,0.45,69.4,51.9,2.1,0.4,27.6
Fábio Henrique Tavares,Brazil,MCD,99,0.23,50.9,33.6,0.0,0.0,3.2
Gabriel Fernando de Jesus,Brazil,DC,251,0.17,9.7,10.8,0.4,0.7,36.7
Gabriel Teodoro Martinelli Silva,Brazil,EI,285,0.5,14.5,15.8,1.9,1.3,28.3
Garang Kuol,Australia,MC,180,0.03,2.0,4.0,1.0,0.5,40.0
Gareth Frank Bale,Wales,DC,245,0.26,20.2,16.2,1.1,0.7,40.4
Gaël Ondoua,Cameroon,MCD,181,0.05,9.4,7.0,0.0,0.0,33.3
Georges-Kévin Nkoudou Mbida,Cameroon,EI,188,0.15,5.3,7.2,1.4,0.5,46.7
Germán Alejandro Pezzella,Argentina,DFC,337,0.06,13.1,8.8,0.0,0.3,2.4
Gerson Torres Barrantes,Costa Rica,ED,46,0.19,33.3,41.1,3.9,2.0,39.0
Ghilane Chalali,Tunisia,MCO,95,0.02,4.7,3.8,0.0,0.0,0.0
Gideon Mensah,Ghana,LI,84,0.33,48.2,31.1,0.0,0.0,9.5
Giorgian Daniel De Arrascaeta Benedetti,Uruguay,MC,175,0.41,26.2,18.5,1.0,1.5,33.7
Giovanni Reyna,United States,ED,188,0.32,16.8,15.3,0.5,1.0,21.4
Gleison Bremer Silva Nascimento,Brazil,DFC,189,0.14,40.5,32.4,0.0,0.5,5.2
Gonzalo Ariel Montiel,Argentina,LD,402,0.21,18.4,13.9,0.4,0.7,13.4
Gonzalo Jordy Plata Jiménez,Ecuador,MC,269,0.41,34.8,27.8,3.3,0.7,35.7
Gonçalo Matias Ramos,Portugal,DC,323,0.2,8.4,8.9,0.6,2.0,38.0
Granit Xhaka,Switzerland,MCD,379,0.49,57.0,44.6,0.2,1.4,19.3
Grzegorz Krychowiak,Poland,MCD,328,0.24,34.8,24.1,0.3,0.3,23.0
Gue-Sung Cho,South Korea,DC,342,0.19,15.8,11.3,0.8,2.1,48.2
Guido Rodríguez,Argentina,MCD,56,0.41,99.6,75.5,0.0,0.0,2.8
